model,family,n,mean_relL2,median_relL2,p90_relL2,frac_relL2_gt_1,mean_relL2_alpha,mean_crf
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1300,21,0.4569873114005015,0.4260080067286333,0.6310170825038877,0.047619047619047616,0.44004408512595883,0.8899903056498069
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1301,17,0.6472735523013309,0.6161597842100012,0.807365640780898,0.058823529411764705,0.6146967576459044,0.9233400809130873
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1302,22,0.7421045343721304,0.6789336608211947,0.9662914990160518,0.09090909090909091,0.6747157604361967,0.9415397360975067
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1303,19,0.7078870083082568,0.5988076328972272,0.8486425590225254,0.05263157894736842,0.6245626673296238,0.9251858451843968
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1304,18,0.8222679996085719,0.7120651308203405,1.2304720379571934,0.16666666666666666,0.6918634750396695,0.9395785028154128
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1305,24,0.8436656741435723,0.8525318068774353,1.0682725270553255,0.20833333333333334,0.7133757001376292,0.8889072651081861
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1306,21,0.9414874995238275,0.8981108132708522,1.3040736997808244,0.3333333333333333,0.7816372109058498,0.9278873042921878
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1307,34,0.813584285250822,0.7777843521075646,1.0857201148606663,0.14705882352941177,0.6988064564677425,0.9414915553280458
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1308,20,0.8857969583147961,0.858906670674519,1.1536304422612702,0.3,0.7476321749027222,0.9412007421024995
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1309,21,0.8357409199220275,0.8117176718678571,1.0872682638303732,0.23809523809523808,0.7137234707654182,0.9249941083152109
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1310,18,0.5889581745042548,0.5751811887084792,0.7158314698595476,0.0,0.5695448875643593,0.9079246537805362
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1311,13,0.6254413083726648,0.6244126792175955,0.6602817046390063,0.0,0.5994398417181291,0.8954795853341119
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1313,19,0.5882026335911718,0.5567694648938988,0.7054248030876034,0.0,0.5534941145520832,0.8603987858593761
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1314,19,0.5938129359831477,0.554232265535297,0.6856597012689637,0.05263157894736842,0.5672269144170046,0.8933501450999044
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1315,26,0.6289223426808223,0.556233227565039,0.7426137996592318,0.038461538461538464,0.5773967618703668,0.8954175043991808
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1316,16,0.5935129232254374,0.567672749618703,0.6841237425394738,0.0,0.5672205223457817,0.9227788111893737
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1317,22,0.5821226554723428,0.5807734625409665,0.6808492486519484,0.0,0.5629222896218967,0.914706827419518
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1318,15,0.5859084420370341,0.5440575282950492,0.7014770369280714,0.0,0.5700686244788981,0.8879614668898614
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1319,24,0.5685311447178226,0.5763664106583042,0.6410448064155563,0.0,0.5528125014677436,0.8907934678160562
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1349,17,0.5924762812654913,0.5502820291033126,0.757839182371015,0.058823529411764705,0.5687516176443017,0.9075678217838351
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1350,27,0.5745030065708961,0.5809066408875552,0.6293410759384067,0.0,0.5520140749317908,0.888621931214759
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1351,24,0.6218720586045983,0.5711435928152175,0.7514836096455038,0.041666666666666664,0.5778941398436341,0.8846254786020055
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1352,15,0.619152406612836,0.591411288163601,0.767496588408351,0.0,0.5924972222226483,0.9140553631557226
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1353,23,0.5327690963307306,0.5059001848295029,0.6309196467715957,0.0,0.5209830213218807,0.8940946158698077
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1354,18,0.6624545196927978,0.6480037003727797,0.8649393086966404,0.05555555555555555,0.6382387808481506,0.9143558002949926
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1355,14,0.6205344086371108,0.6520267693657108,0.7202779265320391,0.0,0.6021710479436055,0.8937882478751996
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1356,19,0.6416249447109819,0.5787385010958289,0.8149822470162845,0.05263157894736842,0.6180263166677702,0.8914316379743549
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1357,17,0.6334399520319218,0.5698986038943138,0.7675665001884948,0.058823529411764705,0.5984343713670108,0.8793351574107761
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1358,21,0.5545701755744,0.5421778330225396,0.694421432230469,0.0,0.528837691083039,0.8976401625216118
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1359,19,0.6092831894317873,0.5427943556578875,0.7748617078575484,0.05263157894736842,0.5710660607273597,0.9102585702428322
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1360,17,0.5353593766206819,0.5188863510934685,0.6148927817587734,0.0,0.5228394984713564,0.9047094857022403
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1361,22,0.6054191898874607,0.5346584612866739,0.7369685304079553,0.045454545454545456,0.5493855838462349,0.9077219099133319
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1362,17,0.5109243691974021,0.4528812228849458,0.6479538631923105,0.0,0.5017728190949251,0.922928654640522
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1363,24,0.5843302066523856,0.5368456689098199,0.7388918276360834,0.041666666666666664,0.5640481108663231,0.9068953343676842
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1364,25,0.6400629159122317,0.5666378075583649,0.8128530916409167,0.04,0.6011291161245691,0.8899578053483386
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1365,24,0.6143607590543859,0.5279729790387786,0.731999860663629,0.08333333333333333,0.5651535417962136,0.9166660241895753
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1400,14,0.6118028146613369,0.508725513951186,1.2005839032037207,0.14285714285714285,0.5390888593173144,0.8985393616810502
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1401,20,0.7452653565680081,0.7352155388561092,0.9565630727050978,0.05,0.6973519080865043,0.954729712808853
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1402,16,0.6307307785774461,0.6111113998997775,0.7755410710246547,0.0,0.5938706673909546,0.9220179804434805
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1403,20,0.6394561691532801,0.599863425554646,0.8297826800656654,0.0,0.5858264523350873,0.9301299981632972
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1404,19,0.7897125951199386,0.7249053108551607,1.0056009112464759,0.10526315789473684,0.6759731103461952,0.9050517696926627
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1405,14,0.7654283032585237,0.7134034447643338,0.9295156155932283,0.07142857142857142,0.6803856663566765,0.9388864293721347
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1406,20,0.7151497176354209,0.6991157198132594,0.9352467320586088,0.05,0.6398717147523337,0.9191307033703697
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1407,14,0.8854710677916605,0.8065023086579475,1.2750409606071487,0.2857142857142857,0.746678981679077,0.9177239551807499
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1408,21,0.7931304155139575,0.7150590515978665,1.0306233115650538,0.19047619047619047,0.68483091444605,0.9072197764907018
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1409,17,0.7184860563560571,0.6546088597982979,0.9701424195321027,0.058823529411764705,0.6579469319004474,0.9048096145342767
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1410,12,0.6099072346266372,0.5805180825729827,0.6760770144005692,0.0,0.5858862409941248,0.8555027232729705
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1411,21,0.6216703047144287,0.6075982015212044,0.6778257572530583,0.0,0.5948292452601814,0.8977805446948468
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1412,16,0.7354534018526993,0.6118743358580834,1.2697581013724801,0.1875,0.6389947477384808,0.9058855972295845
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1413,24,0.6382968865943844,0.5932930105222392,0.7335529467198547,0.041666666666666664,0.6070072516364431,0.9037495830213348
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1414,23,0.6206832009310105,0.5838231790067242,0.7764765804003652,0.043478260869565216,0.5861016360711332,0.8855072900796286
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1415,14,0.6029422044199759,0.5771792719536706,0.7230134068567489,0.0,0.5807850001445667,0.9267507170109255
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1416,21,0.6916501703681168,0.5507469718558479,1.287314549234154,0.14285714285714285,0.5984645248978848,0.9176282772344503
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1417,16,0.6531671805304484,0.5568205005069271,0.7270632570503459,0.0625,0.5796446980764648,0.8930322212595188
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1418,13,0.6387020091452276,0.5535183285759134,0.7467117656741264,0.07692307692307693,0.5897198695897474,0.8769244052255248
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1419,13,0.6779219272402182,0.5756578531579003,0.958304856763608,0.15384615384615385,0.6288136719462655,0.9233307024876788
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1420,18,0.6132001966117085,0.5804699275853056,0.7993284276131764,0.0,0.5903396843579064,0.8871456735997785
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1421,23,0.6431157525664439,0.593934204631637,0.7356201359489124,0.043478260869565216,0.5964303225439794,0.872568383228076
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1422,15,0.6651881335049139,0.587088076926176,0.7826775439405012,0.06666666666666667,0.6178122794646043,0.8944284769955522
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1423,30,0.7968710257182899,0.7400017586453336,1.0640774756251785,0.13333333333333333,0.7056830610941327,0.9060855200136462
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1424,17,0.8910870198599894,0.7875016706230186,1.2669273226794602,0.29411764705882354,0.7264256428955789,0.8744269070095719
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1425,24,0.8992957955365194,0.7874798329422193,1.3004430774767861,0.20833333333333334,0.7271662958795092,0.9059089133841399
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1426,22,0.7999658741434924,0.7183819628223392,1.073663778635646,0.18181818181818182,0.6894436772911727,0.9178856530915417
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1427,22,0.8101868585213665,0.7256247897072822,1.0616385517709728,0.13636363636363635,0.679099200245715,0.9349276040125905
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1428,24,0.8529225141877612,0.7693261672490362,1.1383366479057764,0.25,0.7250882404480447,0.9385516562265881
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1429,21,0.8741153338058522,0.7765697109703952,1.2228365254364242,0.3333333333333333,0.7269328493139148,0.951118560596312
spectrum_fno48_floor6_smooth1_qc_peak4_fieldloss,sparc_1430,19,0.8936800618813211,0.8730587198825542,1.0855638036740756,0.2631578947368421,0.7760253142239145,0.9482581435022893
